QRT	GRIP_TOT	GROP_TOT	NET_TOT	TOT_OP_EXP	NONOP_REV							
2007Q1	360433989.73	137816159.03	135648604.79	135053536.82	4600488.48							
2007Q2	365394780.55	141802414.82	137983760.12	136873664.85	5283497.55							
2007Q3	372761902.97	145865451.82	140664299.94	140106308.15	4728838.52							
2007Q4	378582820.82	149322858.64	142887216.36	143758244.12	5370146.00							
2008Q1	389305362.79	152550242.18	147714982.42	147037698.79	806504.39							
2008Q2	393324454.24	155177157.45	148694111.67	149729121.67	-746251.94							
2008Q3	385969418.79	154268089.74	146521737.62	146403775.00	-4001081.41							
2008Q4	389784424.56	158342401.88	148171898.41	146295548.71	-13197037.68							
2009Q1	389034867.00	161369981.00	147352694.00	146091524.00	-10477160.00							
2009Q2	392989152.00	166411135.00	149609912.00	146741006.00	-6183110.00							
2009Q3	397732711.00	170630908.00	152357486.00	148101356.00	-445054.00							
2009Q4	403844443.00	173892408.00	154653195.00	149611342.00	5947343.00							
2010Q1	419796409.61	182371694.85	160728339.21	155501779.64	8421066.36							
2010Q2	437443939.00	191920837.00	166706002.00	162430310.00	3261843.00							
2010Q3	441602035.00	196726639.00	166963513.00	163714689.00	2629733.00							
2010Q4	430716400.00	195818130.12	171312110.00	168556879.61	4550840.18							
2011Q1	437436577.88	202962113.09	172072238.18	171787444.58	8040446.39							
2011Q2	455397767.00	214519735.00	179307997.00	178883999.00	10702169.00							
2011Q3	457264201.00	218937277.00	181072377.00	180471117.00	4350779.00							
2011Q4	463797753.16	222413527.81	175149151.97	175564792.69	2266369.44							
2012Q1	468651269.03	228148892.78	180489418.25	175968520.00	762846.13							
2012Q2	478142267.00	232586789.00	184904616.00	177804012.00	-3584597.00							
2012Q3	483483559.00	236780402.00	189454431.00	180880930.00	3419871.00							
2012Q4	487048848.44	242061821.59	190811998.06	181867078.81	3662138.50							
2013Q1	475270216.00	237190528.00	185283006.00	178277259.00	1619557.00							
2013Q2	469960872.45	240696831.21	187190717.39	184027178.42	6014464.27							
2013Q3	469960872.45	240696831.21	187190717.39	184027178.42	6014464.27							
2013Q4	478948647.25	258649144.34	192287673.63	190494565.59	8118099.63							
2014Q1	503651517.00	280325830.00	202816954.00	201897447.00	8250013.00							
2014Q2	489278185.00	277950367.00	190951716.00	189839766.00	9477710.00							
2014Q3	495271895.00	284077576.00	192377750.00	189900810.00	5762438.00							
2014Q4	499975361.00	288329013.00	199585981.00	194732674.00	3205597.00							
2015Q1	509623574.26	293700084.61	205576052.87	199871010.16	3564042.48							
2015Q2	515721631.00	299022310.00	210333344.00	204193445.00	2543539.00							
2015Q3	523372034.00	304612441.00	215308118.00	208389179.00	238540.00							
2015Q4	533662284.00	310662579.00	213131865.00	209038477.00	751262.00							
2016Q1	545885117.00	318617690.00	217615113.00	211196134.00	-1146292.00							
2016Q2	538622810.00	314829181.00	213672055.00	207165116.00	257574.00							
2016Q3	543944727.00	321043040.00	213302972.00	219173562.00	3725926.00							
